Language;Language dummy;Country of origin;Country of destination;Alpha-2 code (origin);Alpha-3 code (origin);Alpha-2 code (destination);Alpha-3 code (destination)
Malay;1;Brunei;Indonesia;BN;BRN;ID;IDN
Malay;1;Brunei;Singapore;BN;BRN;SG;SGP
Malay;1;Brunei;Brunei;BN;BRN;BN;BRN
Dutch;1;Netherlands;Netherlands;NL;NLD;NL;NLD
Dutch;1;Netherlands;Belgium;NL;NLD;BE;BEL
Dutch;1;Netherlands;Suriname;NL;NLD;SR;SUR
Dutch;1;Belgium;Netherlands;BE;BEL;NL;NLD
Dutch;1;Belgium;Belgium;BE;BEL;BE;BEL
Dutch;1;Belgium;Suriname;BE;BEL;SR;SUR
Dutch;1;Suriname;Netherlands;SR;SUR;NL;NLD
Dutch;1;Suriname;Belgium;SR;SUR;BE;BEL
Dutch;1;Suriname;Suriname;SR;SUR;SR;SUR
Persian;1;Iran;Iran;IR;IRN;IR;IRN
Persian;1;Iran;Afghanistan;IR;IRN;AF;AFG
Persian;1;Iran;Tajikistan;IR;IRN;TJ;TJK
Persian;1;Afghanistan;Iran;AF;AFG;IR;IRN
Persian;1;Afghanistan;Afghanistan;AF;AFG;AF;AFG
Persian;1;Afghanistan;Tajikistan;AF;AFG;TJ;TJK
Persian;1;Tajikistan;Iran;TJ;TJK;IR;IRN
Persian;1;Tajikistan;Afghanistan;TJ;TJK;AF;AFG
Persian;1;Tajikistan;Tajikistan;TJ;TJK;TJ;TJK
Sotho;1;South Africa;South Africa;ZA;ZAF;ZA;ZAF
Sotho;1;South Africa;Lesotho;ZA;ZAF;LS;LSO
Sotho;1;South Africa;Zimbabwe;ZA;ZAF;ZW;ZWE
Sotho;1;Lesotho;South Africa;LS;LSO;ZA;ZAF
Sotho;1;Lesotho;Lesotho;LS;LSO;LS;LSO
Sotho;1;Lesotho;Zimbabwe;LS;LSO;ZW;ZWE
Sotho;1;Zimbabwe;South Africa;ZW;ZWE;ZA;ZAF
Sotho;1;Zimbabwe;Lesotho;ZW;ZWE;LS;LSO
Sotho;1;Zimbabwe;Zimbabwe;ZW;ZWE;ZW;ZWE
Tswana;1;Botswana;Botswana;BW;BWA;BW;BWA
Tswana;1;Botswana;South Africa;BW;BWA;ZA;ZAF
Tswana;1;Botswana;Zimbabwe;BW;BWA;ZW;ZWE
Tswana;1;South Africa;Botswana;ZA;ZAF;BW;BWA
Tswana;1;South Africa;South Africa;ZA;ZAF;ZA;ZAF
Tswana;1;South Africa;Zimbabwe;ZA;ZAF;ZW;ZWE
Tswana;1;Zimbabwe;Botswana;ZW;ZWE;BW;BWA
Tswana;1;Zimbabwe;South Africa;ZW;ZWE;ZA;ZAF
Tswana;1;Zimbabwe;Zimbabwe;ZW;ZWE;ZW;ZWE
Albanian;1;Albania;Albania;AL;ALB;AL;ALB
Albanian;1;Albania;Kosovo;AL;ALB;XK;XXK
Albanian;1;Albania;North Macedonia;AL;ALB;MK;MKD
Albanian;1;Kosovo;Albania;XK;XXK;AL;ALB
Albanian;1;Kosovo;Kosovo;XK;XXK;XK;XXK
Albanian;1;Kosovo;North Macedonia;XK;XXK;MK;MKD
Albanian;1;North Macedonia;Albania;MK;MKD;AL;ALB
Albanian;1;North Macedonia;Kosovo;MK;MKD;XK;XXK
Albanian;1;North Macedonia;North Macedonia;MK;MKD;MK;MKD
Mandarin Chinese;1;China;China;CN;CHN;CN;CHN
Mandarin Chinese;1;China;Singapore;CN;CHN;SG;SGP
Mandarin Chinese;1;China;Taiwan;CN;CHN;TW;TWN
Mandarin Chinese;1;Singapore;China;SG;SGP;CN;CHN
Mandarin Chinese;1;Singapore;Singapore;SG;SGP;SG;SGP
Mandarin Chinese;1;Singapore;Taiwan;SG;SGP;TW;TWN
Mandarin Chinese;1;Taiwan;China;TW;TWN;CN;CHN
Mandarin Chinese;1;Taiwan;Singapore;TW;TWN;SG;SGP
Mandarin Chinese;1;Taiwan;Taiwan;TW;TWN;TW;TWN
Romanian;1;Romania;Romania;RO;ROU;RO;ROU
Romanian;1;Romania;Moldova;RO;ROU;MD;MDA
Romanian;1;Romania;Transnistria;RO;ROU;MD;MDA
Romanian;1;Moldova;Romania;MD;MDA;RO;ROU
Romanian;1;Moldova;Moldova;MD;MDA;MD;MDA
Romanian;1;Moldova;Transnistria;MD;MDA;MD;MDA
Romanian;1;Transnistria;Romania;MD;MDA;RO;ROU
Romanian;1;Transnistria;Moldova;MD;MDA;MD;MDA
Romanian;1;Transnistria;Transnistria;MD;MDA;MD;MDA
Turkish;1;Turkey;Turkey;TR;TUR;TR;TUR
Turkish;1;Turkey;Northern Cyprus;TR;TUR;CY;CYP
Turkish;1;Turkey;Cyprus;TR;TUR;CY;CYP
Turkish;1;Northern Cyprus;Turkey;CY;CYP;TR;TUR
Turkish;1;Northern Cyprus;Northern Cyprus;CY;CYP;CY;CYP
Turkish;1;Northern Cyprus;Cyprus;CY;CYP;CY;CYP
Turkish;1;Cyprus;Turkey;CY;CYP;TR;TUR
Turkish;1;Cyprus;Northern Cyprus;CY;CYP;CY;CYP
Turkish;1;Cyprus;Cyprus;CY;CYP;CY;CYP
Aymara;1;Bolivia;Bolivia;BO;BOL;BO;BOL
Aymara;1;Bolivia;Peru;BO;BOL;PE;PER
Aymara;1;Peru;Bolivia;PE;PER;BO;BOL
Aymara;1;Peru;Peru;PE;PER;PE;PER
Berber;1;Algeria;Algeria;DZ;DZA;DZ;DZA
Berber;1;Algeria;Morocco;DZ;DZA;MA;MAR
Berber;1;Morocco;Algeria;MA;MAR;DZ;DZA
Berber;1;Morocco;Morocco;MA;MAR;MA;MAR
Chichewa;1;Malawi;Malawi;MW;MWI;MW;MWI
Chichewa;1;Malawi;Zimbabwe;MW;MWI;ZW;ZWE
Chichewa;1;Zimbabwe;Malawi;ZW;ZWE;MW;MWI
Chichewa;1;Zimbabwe;Zimbabwe;ZW;ZWE;ZW;ZWE
Greek;1;Greece;Greece;GR;GRC;GR;GRC
Greek;1;Greece;Cyprus;GR;GRC;CY;CYP
Greek;1;Cyprus;Greece;CY;CYP;GR;GRC
Greek;1;Cyprus;Cyprus;CY;CYP;CY;CYP
Guarani;1;Paraguay;Paraguay;PY;PRY;PY;PRY
Guarani;1;Paraguay;Bolivia;PY;PRY;BO;BOL
Guarani;1;Bolivia;Paraguay;BO;BOL;PY;PRY
Guarani;1;Bolivia;Bolivia;BO;BOL;BO;BOL
Hindi–Urdu;1;India;India;IN;IND;IN;IND
Hindi–Urdu;1;India;Pakistan;IN;IND;PK;PAK
Hindi–Urdu;1;Pakistan;India;PK;PAK;IN;IND
Hindi–Urdu;1;Pakistan;Pakistan;PK;PAK;PK;PAK
Korean;1;North Korea;North Korea;KP;PRK;KP;PRK
Korean;1;North Korea;South Korea;KP;PRK;KR;KOR
Korean;1;South Korea;North Korea;KR;KOR;KP;PRK
Korean;1;South Korea;South Korea;KR;KOR;KR;KOR
Quechua;1;Bolivia;Bolivia;BO;BOL;BO;BOL
Quechua;1;Bolivia;Peru;BO;BOL;PE;PER
Quechua;1;Peru;Bolivia;PE;PER;BO;BOL
Quechua;1;Peru;Peru;PE;PER;PE;PER
Rwanda-Rundi;1;Burundi;Burundi;BI;BDI;BI;BDI
Rwanda-Rundi;1;Burundi;Rwanda;BI;BDI;RW;RWA
Rwanda-Rundi;1;Rwanda;Burundi;RW;RWA;BI;BDI
Rwanda-Rundi;1;Rwanda;Rwanda;RW;RWA;RW;RWA
Swati;1;Eswatini;Eswatini;SZ;SWZ;SZ;SWZ
Swati;1;Eswatini;South Africa;SZ;SWZ;ZA;ZAF
Swati;1;South Africa;Eswatini;ZA;ZAF;SZ;SWZ
Swati;1;South Africa;South Africa;ZA;ZAF;ZA;ZAF
Swedish;1;Sweden;Sweden;SE;SWE;SE;SWE
Swedish;1;Sweden;Finland;SE;SWE;FI;FIN
Swedish;1;Finland;Sweden;FI;FIN;SE;SWE
Swedish;1;Finland;Finland;FI;FIN;FI;FIN
Tamil;1;Sri Lanka;Sri Lanka;LK;LKA;LK;LKA
Tamil;1;Sri Lanka;Singapore;LK;LKA;SG;SGP
Tamil;1;Singapore;Sri Lanka;SG;SGP;LK;LKA
Tamil;1;Singapore;Singapore;SG;SGP;SG;SGP
Tigrinya;1;Eritrea;Eritrea;ER;ERI;ER;ERI
Tigrinya;1;Eritrea;Ethiopia;ER;ERI;ET;ETH
Tigrinya;1;Ethiopia;Eritrea;ET;ETH;ER;ERI
Tigrinya;1;Ethiopia;Ethiopia;ET;ETH;ET;ETH
Venda;1;South Africa;South Africa;ZA;ZAF;ZA;ZAF
Venda;1;South Africa;Zimbabwe;ZA;ZAF;ZW;ZWE
Venda;1;Zimbabwe;South Africa;ZW;ZWE;ZA;ZAF
Venda;1;Zimbabwe;Zimbabwe;ZW;ZWE;ZW;ZWE
Xhosa;1;South Africa;South Africa;ZA;ZAF;ZA;ZAF
Xhosa;1;South Africa;Zimbabwe;ZA;ZAF;ZW;ZWE
Xhosa;1;Zimbabwe;South Africa;ZW;ZWE;ZA;ZAF
Xhosa;1;Zimbabwe;Zimbabwe;ZW;ZWE;ZW;ZWE
Armenian;1;Armenia;Armenia;AM;ARM;AM;ARM
Armenian;1;Armenia;Nagorno Karabakh;AM;ARM;AZ;AZE
Armenian;1;Nagorno Karabakh;Armenia;AZ;AZE;AM;ARM
Armenian;1;Nagorno Karabakh;Nagorno Karabakh;AZ;AZE;AZ;AZE
Somali;1;Somalia;Somalia;SO;SOM;SO;SOM
Somali;1;Somalia;Somaliland;SO;SOM;SO;SOM
Somali;1;Somaliland;Somalia;SO;SOM;SO;SOM
Somali;1;Somaliland;Somaliland;SO;SOM;SO;SOM
